GP surgery,House name / number,Road,Town,County,Postcode,Practice code,lat,lon,PCN name
Bursted Wood Surgery,219,Erith Road,Bexleyheath,Kent,DA7 6HZ,G83046,51.46538937,0.15171809,APL Bexley PCN
Lyndhurst Medical Centre,41,Lyndhurst Road,Bexleyheath,Kent,DA7 6DL,G83049,51.46125607,0.15865433,APL Bexley PCN
Plas Meddyg Surgery,40,Parkhill Road,Bexley,Kent,DA5 1HU,G83029,51.44294679,0.144338467,APL Bexley PCN
The Albion Surgery,6,Pincott Road,Bexleyheath,Kent,DA6 7LP,G83006,51.45495319,0.147407826,APL Bexley PCN
Bellegrove Road Surgery,174,Bellegrove Road,Welling,Kent,DA16 3RE,G83009,51.4646118,0.095838568,Clocktower PCN
Bexley Group Practice,76 – 78,Upper Wickham Lane,Welling,Kent,DA16 3HQ,G83028,51.46561183,0.109524967,Clocktower PCN
Bexley Group Practice: Station Road,24,Station Road,Belvedere,Kent,DA17 6JJ,G83028,51.49412254,0.151152215,Clocktower PCN
Dr Davies & Partners,55,Little Health Road,Bexleyheath,Kent,DA7 5HL,G83033,51.47264129,0.141069526,Clocktower PCN
Welling Medical Practice,2,Danson Crescent,Welling,,DA16 2AT,G83025,51.46163022,0.107762742,Clocktower PCN
Welling Medical Practice: Branch Surgery,12,Avery Hill Road,New Eltham,,SE9 2BD,G83025,51.43820938,0.073536055,Clocktower PCN
Westwood Surgery,24,Westwood Lane,Welling,Kent,DA16 2HE,G83002,51.46295749,0.096972811,Clocktower PCN
Westwood Surgery: Pickford Surgery,55,Pickford Lane,Bexleyheath,Kent,DA7 4RN,G83002,51.4668658,0.137259428,Clocktower PCN
Barnard Medical Group,43,Granville Road,Sidcup,Kent,DA14 4TA,G83004,51.42839857,0.10910128,Frognal PCN
Barnard Medical Group,82,Marlborough Park Avenue,Sidcup,Kent,DA15 9DX,G83004,51.44382343,0.103415154,Frognal PCN
Sidcup Medical Centre,2,Church Avenue,Sidcup,Kent,DA14 6BU,G83066,51.42390435,0.107850664,Frognal PCN
Sidcup Medical Centre: Burnt Oak Lane Surgery,231,Burnt Oak Lane,Sidcup,Kent,DA15 9BQ,G83066,51.44575881,0.105803372,Frognal PCN
Sidcup Medical Centre: Crook Log Surgery,19,Crook Log,Bexleyheath,Kent,DA6 8DZ,G83066,51.45863515,0.130361525,Frognal PCN
Sidcup Medical Centre: Station Road Surgery,69,Station Road,Sidcup,Kent,DA15 7DS,G83066,51.43155781,0.102338935,Frognal PCN
Sidcup Medical Centre: Thanet Road Surgery,63,Thanet Road,Bexley,Kent,DA5 1AP,G83066,51.44281986,0.149463583,Frognal PCN
Woodlands Surgery,146,Halfway Street,Sidcup,Kent,DA15 8DF,G83057,51.43993396,0.089065086,Frognal PCN
Belvedere Medical Centre,15,Albert Road,Belvedere,Kent,DA17 5LQ,G83052,51.48233475,0.145876213,North Bexley PCN
Bexley Medical Group: Erith Health Centre,50,Pier Road,Erith,Kent,DA8 1RQ,G83053,51.47981525,0.185894237,North Bexley PCN
Bexley Medical Group: Hurst Place Surgery,294A,Hurst Road,Bexey,Kent,DA5 3LH,G83053,51.4396536,0.134358593,North Bexley PCN
Bexley Medical Group: King Harold's Way Surgery,171,King Harold’s Way,Bexleyheath,Kent,DA7 5RB,G83053,51.47553504,0.131245005,North Bexley PCN
Crayford Town Surgery,Townhall Square,Crayford Road,Crayford,Kent,DA1 4FN,G83642,51.45028365,0.181018566,North Bexley PCN
Lakeside Medical Centre,,Yarnton Way,Thamesmead,London,SE2 9LH,G83018,51.4966416,0.122839591,North Bexley PCN
Northumberland Heath Medical Centre,,Hind Crescent,Erith,,DA8 3DB,G83010,51.47693804,0.166335105,North Bexley PCN
Riverside Surgery,50,Pier Road,Erith,Kent,DA8 1RQ,G83630,51.4798184,0.180875509,North Bexley PCN
Riverside Surgery: Battle Road Branch,62,Battle Road,Erith,Kent,DA8 1BJ,G83630,51.48902258,0.165603002,North Bexley PCN
Riverside Surgery: Mill Road Branch,25,Mill Road,Erith,Kent,DA8 1HW,G83630,51.4732283,0.161158932,North Bexley PCN
Slade Green Medical Centre,156,Bridge Road,Slade Green,Kent,DA8 2HS,G83062,51.47095951,0.191353297,North Bexley PCN
