GP surgery,House name / number,Road,Town,County,Postcode,lat,lon
Pilgrims Way Surgery,Dartford East Health Centre,Pilgrims Way,Dartford,Kent,DA1 1QY,51.440675,0.2369156
Dr CJ Shimmins & Partners,Dartford East Health Centre,Pilgrims Way,Dartford,Kent,DA1 1QY,51.440675,0.2369156
Lowfield Medical Centre,65-67,Lowfield Street,Dartford,Kent,DA1 1HP,51.44211745,0.215741175
Temple Hill Surgery,St Edmunds Church,St Edmunds Road,Dartford,Kent,DA1 5ND,51.4529389,0.2323866
Ivy Bower Surgery,7,Ivy Bower Close,Greenhithe,Kent,DA9 9NF,51.4493151,0.2801215
West Kingsdown,,London Road,West Kingdown,Kent,TN15 6EJ,51.34220259,0.263935479
The Wellcome Practice,Dartford West Health Centre,Tower Road,Dartford,Kent,DA1 2HA,51.4458255,0.2069923
Horsman's Place Surgery,,Instone Road,Dartford,Kent,DA1 2JP,51.44249387,0.215320043
Redwood Practice,Dartford West Health Centre,Tower Road,Dartford,Kent,DA1 2HA,51.4458255,0.2069923
Summerhouse Surgery,,Beaconsfield Road,Bexley,Kent,DA5 2AE,51.43539311,0.172125082
Swanley Medical Centre: The Hextable Site,31A,Main Road,Hextable,Kent,BR8 7RB,51.4090698,0.1828849
River Darent Medical Group: Devon Road Surgery,32,Devon Road,South Darenth,Kent,DA4 9AB,51.40374468,0.243268813
River Darent Medical Group: Braeside Surgery,,Gorse Hill,Farningham,Kent,DA4 0JU,51.37738338,0.22831023
Swanley Medical Centre: The Cedars Site,26,Swanley Centre,Swanley,Kent,BR8 7AH,51.39600215,0.174028173
Swanley Medical Centre: The Oaks Site,,Nightingale Way,Swanley,Kent,BR8 7UP,51.39536769,0.174435765
Swanscombe and Bean Partnership: Swanscombe Health Centre,,Southfleet Road,Swanscombe,Kent,DA10 0BF,51.4417104,0.3139846
Swanscombe and Bean Partnership: Bean Village Surgery,,High Street,Bean,Kent,DA2 8BS,51.42483017,0.287287576
Swanscombe and Bean Partnership: Greenhithe Surgery,32,London Road,Greenhithe,Kent,DA9 9EJ,51.45057793,0.291598897
Swanscombe and Bean Partnership: Lamorna Surgery,,Thomas Drive,Gravesend,Kent,DA12 5PY,51.42784921,0.38240469
Swanscombe and Bean Partnership: Elmdene Surgery,273,London Road,Greenhithe,Kent,DA9 9DB,51.44596297,0.263687473
Swanscombe and Bean Partnership: Bennett Way Surgery,,Bennett Way,Dartford,Kent,DA2 7JT,51.4206207,0.2542571
Swanscombe and Bean Partnership: Fleet Surgery,Fleet Health Campus,Vale Road,Gravesend,Kent,DA11 8BZ,51.4358548,0.3411349
Swanscombe and Bean Partnership: Castle Hill Surgery,69,Cherry Orchard,Ebbsfleet Valley,Kent,DA10 1AD,51.4360633,0.3034744
The Shrubbery,65A,Perry Street,Gravesend,Kent,DA11 8RD,51.43333514,0.350786979
Riverview Park,1,Whinfell Way,Gravesend,Kent,DA12 4RX,51.41890293,0.394733172
Rochester Road Surgery,115,Rochester Road,Gravesend,Kent,DA12 2HU,51.43502509,0.39036951
Beaumont Drive Surgery,117,Beaumont Drive,Gravesend,Kent,DA11 9NY,51.4393661,0.3530955
Pelham Medical Practice,17,Pelham Road,Gravesend,Kent,DA11 0HN,51.4397061,0.3620175
St Gregory’s Medical Practice,116,St Gregory's Crescent,Gravesend,Kent,DA12 4JW,51.42763245,0.389823422
Gravesend Medical Centre and Parrock Street Surgery,1,New Swan Yard,Gravesend,Kent,DA12 2EN,51.4438979,0.3700293
Springhead Health Group,Fleet Health Campus,Vale Road,Gravesend,Kent,DA11 8BZ,51.4358548,0.3411349
Old Road West Surgery,30,Old Road West,Gravesend,Kent,DA11 0LL,51.4336566,0.3673772
Oakfield Health Centre,,Off Windsor Road,Gravesend,Kent,DA12 5BW,51.4192297,0.3723889
Downs Way Medical Practice: Istead Rise Surgery,,Worcester Close,Gravesend,Kent,DA13 9LB,51.4076028,0.3518542
Downs Way Medical Practice:  Shorne Village Surgery,,Crown Lane,Gravesend,Kent,DA12 3DY,51.4156922,0.4299804
Jubilee Medical Group: Kent House Surgery,36,Station Road,Longfield,Kent,DA3 7QD,51.39735397,0.300117023
Jubilee Medical Group: New Ash Green Surgery,,New Ash Green,Longfield,Kent,DA3 8RH,51.36687094,0.306005889
Meopham Medical Centre,,Wrotham Road,Meopham,Kent,DA13 0AH,51.36703488,0.35759212
