GP surgery,original_House name,original_Road,original_Town,original_County,original_Postcode,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
Pilgrims Way Surgery,Dartford East Health Centre,Pilgrims Way,Dartford,Kent,DA1 1QY,51.440675,0.2369156,"Dartford East Health Centre, Pilgrims Way, Dartford, DA1 1QY, United Kingdom",Dartford East Health Centre,,Pilgrims Way,DA1 1QY,,Brooklands,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dr CJ Shimmins & Partners,Dartford East Health Centre,Pilgrims Way,Dartford,Kent,DA1 1QY,51.440675,0.2369156,"Dartford East Health Centre, Pilgrims Way, Dartford, DA1 1QY, United Kingdom",Dartford East Health Centre,,Pilgrims Way,DA1 1QY,,Brooklands,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lowfield Medical Centre,65-67,Lowfield Street,Dartford,Kent,DA1 1HP,51.44211745,0.215741175,"Lowfield Street, Wilmington, DA1 1HP, United Kingdom",Lowfield Street,,Lowfield Street,DA1 1HP,,Brooklands,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Temple Hill Surgery,St Edmunds Church,St Edmunds Road,Dartford,Kent,DA1 5ND,51.4529389,0.2323866,"St Edmunds Road, Dartford, DA1 5NE, United Kingdom",St Edmunds Road,,St Edmunds Road,DA1 5NE,,Temple Hill,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,1,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ivy Bower Surgery,7,Ivy Bower Close,Greenhithe,Kent,DA9 9NF,51.4493151,0.2801215,"7 Ivy Bower Close, Greenhithe, DA9 9NF, United Kingdom",Ivy Bower Close,7,Ivy Bower Close,DA9 9NF,Swanscombe and Greenhithe,Swanscombe and Greenhithe,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
West Kingsdown,,London Road,West Kingdown,Kent,TN15 6EJ,51.34220259,0.263935479,"London Road, West Kingsdown, TN15 6EJ, United Kingdom",London Road,,London Road,TN15 6EJ,,West Kingsdown,Sevenoaks,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
The Wellcome Practice,Dartford West Health Centre,Tower Road,Dartford,Kent,DA1 2HA,51.4458255,0.2069923,"Dartford West Health Centre, Tower Road, Dartford, DA1 2HA, United Kingdom",Dartford West Health Centre,,Tower Road,DA1 2HA,,Brooklands,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Horsman's Place Surgery,,Instone Road,Dartford,Kent,DA1 2JP,51.44249387,0.215320043,"Instone Road, Dartford, DA1 2JP, United Kingdom",Instone Road,,Instone Road,DA1 2JP,,Brooklands,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Redwood Practice,Dartford West Health Centre,Tower Road,Dartford,Kent,DA1 2HA,51.4458255,0.2069923,"Dartford West Health Centre, Tower Road, Dartford, DA1 2HA, United Kingdom",Dartford West Health Centre,,Tower Road,DA1 2HA,,Brooklands,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Summerhouse Surgery,,Beaconsfield Road,Bexley,Kent,DA5 2AE,51.43539311,0.172125082,"Beaconsfield Road, Maypole, DA5 2AE, United Kingdom",Beaconsfield Road,,Beaconsfield Road,DA5 2AE,,Joydens Wood,Dartford,Kent,KEN,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
